N,r,rho,regime,L,window,validated_R,R,precision,recall,FP,FN,TP
997,498,0.49949849548645936,LOW_SNR,131072,hann,9,7,0.9828571428571429,0.23742454728370221,9.0,379.0,118.0
997,498,0.49949849548645936,LOW_SNR,131072,hann,9,8,0.9828571428571429,0.23742454728370221,9.0,379.0,118.0
997,498,0.49949849548645936,LOW_SNR,131072,hann,9,9,0.9828571428571429,0.23742454728370221,9.0,379.0,118.0
997,498,0.49949849548645936,LOW_SNR,131072,hann,9,10,0.9828571428571429,0.23742454728370221,9.0,379.0,118.0
997,498,0.49949849548645936,LOW_SNR,131072,hann,9,11,0.9828571428571429,0.23742454728370221,9.0,379.0,118.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,2,0.8914285714285715,0.24949698189134809,57.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,3,0.9714285714285714,0.24949698189134809,15.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,4,0.9828571428571429,0.24949698189134809,9.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,5,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,6,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,7,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,8,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,9,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,10,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,hamming,9,11,0.9866666666666667,0.24949698189134809,7.0,373.0,124.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,2,0.780952380952381,0.19718309859154928,115.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,3,0.9295238095238095,0.19718309859154928,37.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,4,0.9714285714285714,0.19718309859154928,15.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,5,0.979047619047619,0.19718309859154928,11.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,6,0.9828571428571429,0.19718309859154928,9.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,7,0.9828571428571429,0.19718309859154928,9.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,8,0.9828571428571429,0.19718309859154928,9.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,9,0.9828571428571429,0.19718309859154928,9.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,10,0.9828571428571429,0.19718309859154928,9.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,131072,blackman,9,11,0.9828571428571429,0.19718309859154928,9.0,399.0,98.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,2,0.7931363203050524,0.3983903420523139,217.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,3,0.9380362249761678,0.3983903420523139,65.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,4,0.9876072449952336,0.3983903420523139,13.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,5,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,6,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,7,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,8,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,9,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,10,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hann,10,11,0.9914204003813155,0.3983903420523139,9.0,299.0,198.0
997,498,0.49949849548645936,LOW_SNR,262144,hamming,10,2,0.8312678741658722,0.42655935613682094,177.0,285.0,212.0
